sim_seconds                             ,    0.367026                   ,   # Number of seconds simulated
sim_ticks                               ,367026203000                   ,   # Number of ticks simulated
sim_insts                               ,   440048491                   ,   # Number of instructions simulated
sim_ops                                 ,   478819584                   ,   # Number of ops (including micro ops) simulated
host_inst_rate                          ,     1350870                   ,   # Simulator instruction rate (inst/s)
system.cpu0.numCycles                   ,   734052406                   ,   # number of cpu cycles simulated
system.cpu1.numCycles                   ,   734052405                   ,   # number of cpu cycles simulated
system.cpu2.numCycles                   ,   734052405                   ,   # number of cpu cycles simulated
system.cpu3.numCycles                   ,   734052406                   ,   # number of cpu cycles simulated
system.cpu4.numCycles                   ,   734052360                   ,   # number of cpu cycles simulated
system.cpu5.numCycles                   ,   734052405                   ,   # number of cpu cycles simulated
system.cpu6.numCycles                   ,   734052359                   ,   # number of cpu cycles simulated
system.cpu7.numCycles                   ,   734052360                   ,   # number of cpu cycles simulated
system.cpu0.committedInsts              ,   298666227                   ,   # Number of instructions committed
system.cpu1.committedInsts              ,    31735184                   ,   # Number of instructions committed
system.cpu2.committedInsts              ,    31735420                   ,   # Number of instructions committed
system.cpu3.committedInsts              ,    31735508                   ,   # Number of instructions committed
system.cpu4.committedInsts              ,     5697580                   ,   # Number of instructions committed
system.cpu5.committedInsts              ,    29083803                   ,   # Number of instructions committed
system.cpu6.committedInsts              ,     5697451                   ,   # Number of instructions committed
system.cpu7.committedInsts              ,     5697318                   ,   # Number of instructions committed
system.cpu0.committedOps                ,   337436633                   ,   # Number of ops (including micro ops) committed
system.cpu1.committedOps                ,    31735279                   ,   # Number of ops (including micro ops) committed
system.cpu2.committedOps                ,    31735515                   ,   # Number of ops (including micro ops) committed
system.cpu3.committedOps                ,    31735603                   ,   # Number of ops (including micro ops) committed
system.cpu4.committedOps                ,     5697681                   ,   # Number of ops (including micro ops) committed
system.cpu5.committedOps                ,    29083914                   ,   # Number of ops (including micro ops) committed
system.cpu6.committedOps                ,     5697546                   ,   # Number of ops (including micro ops) committed
system.cpu7.committedOps                ,     5697413                   ,   # Number of ops (including micro ops) committed
system.cpu0.dcache.overall_hits::total  ,    57044018                   ,   # number of overall hits
system.cpu1.dcache.overall_hits::total  ,         956                   ,   # number of overall hits
system.cpu2.dcache.overall_hits::total  ,     1058641                   ,   # number of overall hits
system.cpu3.dcache.overall_hits::total  ,     1058694                   ,   # number of overall hits
system.cpu4.dcache.overall_hits::total  ,         694                   ,   # number of overall hits
system.cpu5.dcache.overall_hits::total  ,    17449130                   ,   # number of overall hits
system.cpu6.dcache.overall_hits::total  ,         594                   ,   # number of overall hits
system.cpu7.dcache.overall_hits::total  ,         523                   ,   # number of overall hits
system.cpu0.dcache.overall_misses::total,       33702                   ,   # number of overall misses
system.cpu1.dcache.overall_misses::total,     2115604                   ,   # number of overall misses
system.cpu2.dcache.overall_misses::total,     1057833                   ,   # number of overall misses
system.cpu3.dcache.overall_misses::total,     1057836                   ,   # number of overall misses
system.cpu4.dcache.overall_misses::total,          66                   ,   # number of overall misses
system.cpu5.dcache.overall_misses::total,         198                   ,   # number of overall misses
system.cpu6.dcache.overall_misses::total,          59                   ,   # number of overall misses
system.cpu7.dcache.overall_misses::total,          57                   ,   # number of overall misses
system.l20.overall_hits::total          ,       66566                   ,   # number of overall hits
system.l21.overall_hits::total          ,         103                   ,   # number of overall hits
system.l20.overall_misses::total        ,       34396                   ,   # number of overall misses
system.l21.overall_misses::total        ,     3417894                   ,   # number of overall misses
system.l3.overall_hits::total           ,         172                   ,   # number of overall hits
system.l3.overall_misses::total         ,       34364                   ,   # number of overall misses
system.cpu0.dcache.writebacks::writebacks  ,     32177                  ,    # number of writebacks
system.cpu0.dcache.writebacks::total       ,    32177                   ,   # number of writebacks
system.cpu0.icache.writebacks::writebacks  ,     66458                  ,    # number of writebacks
system.cpu0.icache.writebacks::total       ,    66458                   ,   # number of writebacks
system.cpu1.icache.writebacks::writebacks  ,         1                  ,    # number of writebacks
system.cpu1.icache.writebacks::total       ,        1                   ,   # number of writebacks
system.cpu2.icache.writebacks::writebacks  ,         1                  ,    # number of writebacks
system.cpu2.icache.writebacks::total       ,        1                   ,   # number of writebacks
system.cpu3.icache.writebacks::writebacks  ,         1                  ,    # number of writebacks
system.cpu3.icache.writebacks::total       ,        1                   ,   # number of writebacks
system.cpu4.icache.writebacks::writebacks  ,         1                  ,    # number of writebacks
system.cpu4.icache.writebacks::total       ,        1                   ,   # number of writebacks
system.cpu6.icache.writebacks::writebacks  ,         1                  ,    # number of writebacks
system.cpu6.icache.writebacks::total       ,        1                   ,   # number of writebacks
system.cpu7.icache.writebacks::writebacks  ,         1                  ,    # number of writebacks
system.cpu7.icache.writebacks::total       ,        1                   ,   # number of writebacks
system.l20.tags.occ_blocks::writebacks     ,86.417454                   ,   # Average occupied blocks per requestor
system.l20.tags.occ_percent::writebacks    , 0.010549                   ,   # Average percentage of cache occupancy
system.l20.WritebackDirty_hits::writebacks ,      32177                 ,     # number of WritebackDirty hits
system.l20.WritebackDirty_hits::total      ,    32177                   ,   # number of WritebackDirty hits
system.l20.WritebackClean_hits::writebacks ,      66450                 ,     # number of WritebackClean hits
system.l20.WritebackClean_hits::total      ,    66450                   ,   # number of WritebackClean hits
system.l20.WritebackDirty_accesses::writebacks,       32177             ,         # number of WritebackDirty accesses(hits+misses)
system.l20.WritebackDirty_accesses::total     ,  32177                  ,    # number of WritebackDirty accesses(hits+misses)
system.l20.WritebackClean_accesses::writebacks,       66450             ,         # number of WritebackClean accesses(hits+misses)
system.l20.WritebackClean_accesses::total     ,  66450                  ,    # number of WritebackClean accesses(hits+misses)
system.l20.writebacks::writebacks             , 25224                   ,   # number of writebacks
system.l20.writebacks::total                  , 25224                   ,   # number of writebacks
system.l20.CleanEvict_mshr_misses::writebacks ,          6              ,        # number of CleanEvict MSHR misses
system.l20.CleanEvict_mshr_miss_rate::writebacks,         inf           ,           # mshr miss rate for CleanEvict accesses
system.l3.WritebackDirty_hits::writebacks      , 25224                  ,    # number of WritebackDirty hits
system.l3.WritebackDirty_hits::total           ,25224                   ,   # number of WritebackDirty hits
system.l3.WritebackDirty_accesses::writebacks  ,     25224              ,        # number of WritebackDirty accesses(hits+misses)
system.l3.WritebackDirty_accesses::total       ,25224                   ,   # number of WritebackDirty accesses(hits+misses)
system.l3.writebacks::writebacks               , 1531                   ,   # number of writebacks
system.l3.writebacks::total                    , 1531                   ,   # number of writebacks
system.l3.CleanEvict_mshr_misses::writebacks   ,       12               ,       # number of CleanEvict MSHR misses
system.l3.CleanEvict_mshr_miss_rate::writebacks,         inf            ,          # mshr miss rate for CleanEvict accesses
*********Additional data************
system.mem_ctrls.avgRdBW                       , 5.99                   ,   # Average DRAM read bandwidth in MiByte/s
system.mem_ctrls.avgRdBWSys                    , 5.99                   ,   # Average system read bandwidth in MiByte/s
system.mem_ctrls.avgWrBW                       , 0.26                   ,   # Average achieved write bandwidth in MiByte/s
system.mem_ctrls.avgWrBWSys                    , 0.27                   ,   # Average system write bandwidth in MiByte/s
system.mem_ctrls.peakBW                  ,   12800.00                   ,   # Theoretical peak bandwidth in MiByte/s
system.mem_ctrls.pageHitRate             ,      42.97                   ,   # Row buffer hit rate, read and write combined
system.mem_ctrls.bytes_read::cpu0.inst   ,      55616                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu1.inst   ,       1536                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu2.inst   ,        128                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu4.inst   ,        128                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu5.inst   ,       1088                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu0.data   ,    2124032                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu1.data   ,       1920                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu2.data   ,       1472                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu3.data   ,       1472                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu4.data   ,       1472                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu5.data   ,       5632                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu6.data   ,       1472                   ,   # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu7.data   ,       1472                   ,   # Number of bytes read from this memory
system.cpu0.num_int_insts                ,  304952190                   ,   # number of integer instructions
system.cpu1.num_int_insts                ,   25388291                   ,   # number of integer instructions
system.cpu2.num_int_insts                ,   25388540                   ,   # number of integer instructions
system.cpu3.num_int_insts                ,   25388601                   ,   # number of integer instructions
system.cpu4.num_int_insts                ,    4558224                   ,   # number of integer instructions
system.cpu5.num_int_insts                ,   23267226                   ,   # number of integer instructions
system.cpu6.num_int_insts                ,    4558129                   ,   # number of integer instructions
system.cpu7.num_int_insts                ,    4558024                   ,   # number of integer instructions
system.cpu0.num_fp_insts                 ,         16                   ,   # number of float instructions
system.cpu1.num_fp_insts                 ,          0                   ,   # number of float instructions
system.cpu2.num_fp_insts                 ,          0                   ,   # number of float instructions
system.cpu3.num_fp_insts                 ,          0                   ,   # number of float instructions
system.cpu4.num_fp_insts                 ,          0                   ,   # number of float instructions
system.cpu5.num_fp_insts                 ,          0                   ,   # number of float instructions
system.cpu6.num_fp_insts                 ,          0                   ,   # number of float instructions
system.cpu7.num_fp_insts                 ,          0                   ,   # number of float instructions
system.cpu0.num_vec_insts                ,          0                   ,   # number of vector instructions
system.cpu1.num_vec_insts                ,          0                   ,   # number of vector instructions
system.cpu2.num_vec_insts                ,          0                   ,   # number of vector instructions
system.cpu3.num_vec_insts                ,          0                   ,   # number of vector instructions
system.cpu4.num_vec_insts                ,          0                   ,   # number of vector instructions
system.cpu5.num_vec_insts                ,          0                   ,   # number of vector instructions
system.cpu6.num_vec_insts                ,          0                   ,   # number of vector instructions
system.cpu7.num_vec_insts                ,          0                   ,   # number of vector instructions
system.cpu0.Branches                     ,   53080169                   ,   # Number of branches fetched
system.cpu1.Branches                     ,    7404817                   ,   # Number of branches fetched
system.cpu2.Branches                     ,    7404888                   ,   # Number of branches fetched
system.cpu3.Branches                     ,    7404908                   ,   # Number of branches fetched
system.cpu4.Branches                     ,    1139551                   ,   # Number of branches fetched
system.cpu5.Branches                     ,    5816787                   ,   # Number of branches fetched
system.cpu6.Branches                     ,    1139523                   ,   # Number of branches fetched
system.cpu7.Branches                     ,    1139495                   ,   # Number of branches fetched
system.cpu0.dcache.ReadReq_hits::total   ,   29493930                   ,   # number of ReadReq hits
system.cpu1.dcache.ReadReq_hits::total   ,        446                   ,   # number of ReadReq hits
system.cpu2.dcache.ReadReq_hits::total   ,    1058161                   ,   # number of ReadReq hits
system.cpu3.dcache.ReadReq_hits::total   ,    1058198                   ,   # number of ReadReq hits
system.cpu4.dcache.ReadReq_hits::total   ,        280                   ,   # number of ReadReq hits
system.cpu5.dcache.ReadReq_hits::total   ,   11632418                   ,   # number of ReadReq hits
system.cpu6.dcache.ReadReq_hits::total   ,        210                   ,   # number of ReadReq hits
system.cpu7.dcache.ReadReq_hits::total   ,        162                   ,   # number of ReadReq hits
system.cpu0.dcache.WriteReq_hits::total  ,   27550088                   ,   # number of WriteReq hits
system.cpu1.dcache.WriteReq_hits::total  ,        510                   ,   # number of WriteReq hits
system.cpu2.dcache.WriteReq_hits::total  ,        480                   ,   # number of WriteReq hits
system.cpu3.dcache.WriteReq_hits::total  ,        496                   ,   # number of WriteReq hits
system.cpu4.dcache.WriteReq_hits::total  ,        414                   ,   # number of WriteReq hits
system.cpu5.dcache.WriteReq_hits::total  ,    5816712                   ,   # number of WriteReq hits
system.cpu6.dcache.WriteReq_hits::total  ,        384                   ,   # number of WriteReq hits
system.cpu7.dcache.WriteReq_hits::total  ,        361                   ,   # number of WriteReq hits
system.cpu0.dcache.ReadReq_misses::total ,        674                   ,   # number of ReadReq misses
system.cpu1.dcache.ReadReq_misses::total ,    2115571                   ,   # number of ReadReq misses
system.cpu2.dcache.ReadReq_misses::total ,    1057801                   ,   # number of ReadReq misses
system.cpu3.dcache.ReadReq_misses::total ,    1057804                   ,   # number of ReadReq misses
system.cpu4.dcache.ReadReq_misses::total ,         32                   ,   # number of ReadReq misses
system.cpu5.dcache.ReadReq_misses::total ,         99                   ,   # number of ReadReq misses
system.cpu6.dcache.ReadReq_misses::total ,         28                   ,   # number of ReadReq misses
system.cpu7.dcache.ReadReq_misses::total ,         27                   ,   # number of ReadReq misses
system.cpu0.dcache.WriteReq_misses::total,       33028                  ,    # number of WriteReq misses
system.cpu1.dcache.WriteReq_misses::total,          33                  ,    # number of WriteReq misses
system.cpu2.dcache.WriteReq_misses::total,          32                  ,    # number of WriteReq misses
system.cpu3.dcache.WriteReq_misses::total,          32                  ,    # number of WriteReq misses
system.cpu4.dcache.WriteReq_misses::total,          34                  ,    # number of WriteReq misses
system.cpu5.dcache.WriteReq_misses::total,          99                  ,    # number of WriteReq misses
system.cpu6.dcache.WriteReq_misses::total,          31                  ,    # number of WriteReq misses
system.cpu7.dcache.WriteReq_misses::total,          30                  ,    # number of WriteReq misses
